DEPAR,PROV,N_VIV,P24_PARENTES,P25_SEXO,P26_EDAD,P28_CN,P29_CI,P30A_PUBLIC,P30B_CAJA,P30C_PRIVAD,P30D_ATEDOM,P30E_TRADIC,P30F_AUTOME,P30G_CASERA,P31_AFILIADO,P32_PUEBLO_PER,P32_PUEBLO_COD,P331_IDIOHAB1_COD,P332_IDIOHAB2_COD,P333_IDIOHAB3_COD,P334_IDIOHAB_NO,P341_IDIOMAT_COD,P342_IDIOMAT_NO,P35_LUGNAC,P35J_DEPTOCOD,P35H1_PROVCOD,P35H_MUNCOD,P354_ANLLEGA,P353_PAISNAC_COD,P36_LUGRES,P361_ANRES,P36J_DEPTOCOD,P36H1_PROVCOD,P36H_MUNCOD,P363_PAISRES_COD,P37_LUGRES5,P37J_DEPTOCOD,P37H1_PROVCOD,P37H_MUNCOD,P373_PAISRES5_COD,P38_ASISTE,P39_TIPOEST,P40_LEE,P41A_NIVEL,P41B_CURSO,P42A_VER,P42B_OIR,P42C_CAMINA,P42D_COMUNI,P43_PAGO,P44_NEGO,P45_AGRO,P46_DEST,P47_OTRO,P48_NOCU,P49_OCU_1D,OCU_1D_19,P50_SEMP,P51_ACTEC_2D,ACT_ECO_2D_19,P52_MOV,P52_DEP_MOV_COD,P52_MUN_MOV_COD,P52_PAIS_MOV_COD,P53_ECIVIL,P54_HVTOT,P54A_HVTOT_MUJ,P54B_HVTOT_HOM,P55_HSTOT,P55A_HSTOT_MUJ,P55B_HSTOT_HOM,P56_EDADMAD,P57A_UHNACMES,P57B_UHNACAN,P58_UHSOBRE,P59_ATPARTO,EDAD_QUI,G_EDAD,G_EDAD_BOL,P31_COBERSALUD,P41A_NIVEL_ACT,P41B_CURSO_ACT,NIVEL_EDU,AESTUDIO,ASISTE,GEDADEDU,IDIOMA_MAYOR_USO,IDIOMA_MAT,P42_DISCAP,P32_PUEBLOS,HULTA,P59_PARTOCALIF,P59_MEF,DEP_NAC_COD,PROV_NAC_COD,MUN_NAC_COD,DEP_RES_COD,PROV_RES_COD,MUN_RES_COD,DEP_RES5_COD,PROV_RES5_COD,MUN_RES5_COD,DEP_LAB_COD,PROV_LAB_COD,MUN_LAB_COD,PET_19,CONDACT_19,FT_19,FFT_19,OCU_1D_13,P50_CATOCU_13,ACT_ECO_2D_13,PET_13,CONDACT_13,PEA_13,PEI_13,MUN
01,0101,00003742,3,2,22,1,1,1,2,2,2,2,2,1,2,1,028,027,006,,,027,,1,,,,,,2,,5,1,1,,2,7,1,1,,8,,1,7,6,1,1,1,1,1,,,,,,8,8,2,2,2,2,,,,6,,,,,,,,,,,,5,2,2,1,7,6,2,6,2,5,27,27,2,40,,,,1,101,10103,5,501,50101,7,701,70101,1,101,10103,1,1,1,,8,2,2,1,1,1,,10103
01,0101,00003742,6,1,4,1,1,1,2,2,2,2,2,1,4,1,028,027,006,,,027,,2,5,1,1,,,1,2021,,,,,4,,,,,8,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,1,1,2,,,,,2,2,27,27,,40,,,,5,501,50101,1,101,10103,0,0,0,,,,2,5,,,,,,2,5,,,10103
01,0101,00003742,1,1,65,1,1,1,2,2,2,2,2,1,4,1,028,027,,,,027,,1,,,,,,1,9999,,,,,1,,,,,8,,2,1,0,1,1,1,1,2,2,1,1,,,6,6,1,1,1,1,,,,1,08,02,06,02,01,01,024,9,2002,9,6,14,3,3,2,1,0,1,0,2,7,27,27,2,40,2,3,0,1,101,10103,1,101,10103,1,101,10103,1,101,10103,1,1,1,,6,1,1,1,1,1,,10103
01,0101,00003742,3,1,20,1,1,1,2,2,2,2,2,1,1,1,028,027,006,,,027,,1,,,,,,2,,3,1,1,,1,,,,,8,,1,7,5,1,1,1,1,2,1,,,,,6,6,1,1,1,1,,,,6,03,03,00,02,02,00,015,12,2022,9,1,5,2,2,1,7,5,2,5,2,5,27,27,2,40,2,1,1,1,101,10103,3,301,30101,1,101,10103,1,101,10103,1,1,1,,6,1,1,1,1,1,,10103
01,0101,01869236,9,1,84,1,1,1,2,2,1,2,2,2,1,1,028,027,,,,027,,1,,,,,,1,1944,,,,,1,,,,,8,,2,1,0,1,1,4,4,2,2,2,,3,3,,,,0,,,,,,1,05,02,03,01,00,01,020,3,1982,1,6,17,3,3,1,1,0,1,0,2,7,27,27,1,40,2,3,0,1,101,10103,1,101,10103,1,101,10103,,,,1,4,,0,9,4,99,1,1,1,,10103
01,0101,01869236,1,2,40,1,1,2,2,2,2,2,2,2,4,1,028,027,006,,,027,,1,,,,,,1,1984,,,,,1,,,,,8,,1,6,1,1,1,1,4,2,2,2,,3,3,,,,0,,,,,,6,,,,,,,,,,,,9,2,2,2,8,3,3,9,2,6,27,27,1,40,,,,1,101,10103,1,101,10103,1,101,10103,,,,1,4,,0,9,4,99,1,1,1,,10103
01,0101,01869237,7,1,14,1,1,1,2,2,2,2,2,2,1,1,905,027,006,,,027,,1,,,,,,1,2009,,,,,1,,,,,5,1,1,8,3,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,6,99,99,99,99,99,99,999,88,9999,9,9,3,1,1,1,8,3,5,24,1,4,27,27,2,57,97,3,0,1,101,10103,1,101,10103,1,101,10103,,,,1,4,,1,,,,1,4,,1,10103
01,0101,01869237,7,1,11,1,1,1,2,2,2,2,2,2,1,1,905,027,,,,027,,1,,,,,,1,2012,,,,,1,,,,,5,1,1,7,6,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,,,,,,,,,,,,,3,1,1,1,7,6,5,24,1,3,27,27,2,57,,,,1,101,10103,1,101,10103,1,101,10103,,,,1,4,,1,,,,1,4,,1,10103
01,0101,01869237,12,2,0,1,1,1,2,2,2,2,2,2,1,1,905,,,,1,,1,1,,,,,,1,2024,,,,,4,,,,,8,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,2,1,998,998,,57,,,,1,101,10103,1,101,10103,0,0,0,,,,2,5,,,,,,2,5,,,10103
01,0101,01869237,7,2,16,1,1,1,2,2,2,2,2,2,1,1,905,027,006,,,027,,1,,,,,,1,2007,,,,,1,,,,,5,1,1,8,5,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,6,,,,,,,,,,,,4,2,2,1,8,5,5,24,1,4,27,27,2,57,,,,1,101,10103,1,101,10103,1,101,10103,,,,1,4,,1,,,,1,4,,1,10103
