DEPAR,PROV,N_VIV,P24_PARENTES,P25_SEXO,P26_EDAD,P28_CN,P29_CI,P30A_PUBLIC,P30B_CAJA,P30C_PRIVAD,P30D_ATEDOM,P30E_TRADIC,P30F_AUTOME,P30G_CASERA,P31_AFILIADO,P32_PUEBLO_PER,P32_PUEBLO_COD,P331_IDIOHAB1_COD,P332_IDIOHAB2_COD,P333_IDIOHAB3_COD,P334_IDIOHAB_NO,P341_IDIOMAT_COD,P342_IDIOMAT_NO,P35_LUGNAC,P35J_DEPTOCOD,P35H1_PROVCOD,P35H_MUNCOD,P354_ANLLEGA,P353_PAISNAC_COD,P36_LUGRES,P361_ANRES,P36J_DEPTOCOD,P36H1_PROVCOD,P36H_MUNCOD,P363_PAISRES_COD,P37_LUGRES5,P37J_DEPTOCOD,P37H1_PROVCOD,P37H_MUNCOD,P373_PAISRES5_COD,P38_ASISTE,P39_TIPOEST,P40_LEE,P41A_NIVEL,P41B_CURSO,P42A_VER,P42B_OIR,P42C_CAMINA,P42D_COMUNI,P43_PAGO,P44_NEGO,P45_AGRO,P46_DEST,P47_OTRO,P48_NOCU,P49_OCU_1D,OCU_1D_19,P50_SEMP,P51_ACTEC_2D,ACT_ECO_2D_19,P52_MOV,P52_DEP_MOV_COD,P52_MUN_MOV_COD,P52_PAIS_MOV_COD,P53_ECIVIL,P54_HVTOT,P54A_HVTOT_MUJ,P54B_HVTOT_HOM,P55_HSTOT,P55A_HSTOT_MUJ,P55B_HSTOT_HOM,P56_EDADMAD,P57A_UHNACMES,P57B_UHNACAN,P58_UHSOBRE,P59_ATPARTO,EDAD_QUI,G_EDAD,G_EDAD_BOL,P31_COBERSALUD,P41A_NIVEL_ACT,P41B_CURSO_ACT,NIVEL_EDU,AESTUDIO,ASISTE,GEDADEDU,IDIOMA_MAYOR_USO,IDIOMA_MAT,P42_DISCAP,P32_PUEBLOS,HULTA,P59_PARTOCALIF,P59_MEF,DEP_NAC_COD,PROV_NAC_COD,MUN_NAC_COD,DEP_RES_COD,PROV_RES_COD,MUN_RES_COD,DEP_RES5_COD,PROV_RES5_COD,MUN_RES5_COD,DEP_LAB_COD,PROV_LAB_COD,MUN_LAB_COD,PET_19,CONDACT_19,FT_19,FFT_19,OCU_1D_13,P50_CATOCU_13,ACT_ECO_2D_13,PET_13,CONDACT_13,PEA_13,PEI_13,MUN
01,0110,00087212,1,2,32,1,1,1,2,2,1,2,2,1,1,1,013,006,,,,006,,1,,,,,,1,9999,,,,,1,,,,,8,,1,7,5,1,1,1,1,2,2,1,2,1,,7,7,2,6,6,9,,,,2,,,,,,,,,,,,7,2,2,1,7,5,2,5,2,6,6,6,2,15,,,,1,110,11003,1,110,11003,1,110,11003,11,9998,999996,1,1,1,,7,2,6,1,1,1,,11003
01,0110,01836936,1,2,38,1,1,1,1,2,2,2,2,1,2,2,,006,,,,006,,2,7,9,1,,,1,2013,,,,,1,,,,,8,,1,11,5,1,1,1,1,2,2,2,,2,,2,2,2,17,17,2,,,,2,,,,,,,,,,,,8,2,2,1,11,5,4,17,2,6,6,6,2,98,,,,7,709,70901,1,110,11003,1,110,11003,1,110,11003,1,1,1,,2,2,17,1,1,1,,11003
01,0110,01836936,2,1,23,1,1,1,2,2,1,2,2,1,2,2,,006,,,,006,,1,,,,,,1,2000,,,,,1,,,,,7,1,1,10,2,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,2,00,00,00,,,,,,,,,5,2,2,1,10,2,4,14,1,5,6,6,2,98,99,3,0,1,110,11003,1,110,11003,1,110,11003,,,,1,4,,1,,,,1,4,,1,11003
01,0110,01836937,1,1,86,1,1,1,2,2,2,2,2,2,1,2,,006,012,,,006,,2,1,99,99,,,1,2023,,,,,2,1,99,99,,9,9,2,1,0,4,4,4,4,2,2,1,2,3,7,,,,0,,,,,,5,10,06,04,10,06,04,021,7,1982,1,5,18,3,3,1,1,0,1,0,3,8,6,6,1,98,2,3,0,1,199,19999,1,110,11003,1,199,19999,,,,1,4,,4,6,1,1,1,1,1,,11003
01,0110,01836937,12,1,40,1,1,1,2,2,2,2,2,2,1,1,013,012,006,,,012,,2,99,99,99,,,1,2010,,,,,1,,,,,9,9,1,7,6,2,3,1,3,2,2,2,,1,,6,6,9,1,1,9,,,,2,03,03,00,03,03,00,017,8,2004,1,6,9,2,2,1,7,6,2,6,3,8,12,12,1,15,2,3,0,99,9999,999999,1,110,11003,1,110,11003,11,9998,999996,1,1,1,,6,9,1,1,1,1,,11003
01,0110,01836937,12,2,43,1,1,1,1,2,2,2,2,2,2,2,,006,012,,,006,,2,1,10,1,,,1,2010,,,,,1,,,,,8,,1,10,3,2,1,2,1,2,2,1,1,,,6,6,2,1,1,2,,,,2,,,,,,,,,,,,9,2,2,1,10,3,4,15,2,6,6,6,2,98,,,,1,110,11001,1,110,11003,1,110,11003,1,110,11003,1,1,1,,6,2,1,1,1,1,,11003
01,0110,01836937,12,2,23,1,1,1,2,2,2,2,2,2,1,2,,006,,,,006,,1,,,,,,1,2000,,,,,1,,,,,9,9,1,8,6,1,1,1,2,2,2,1,1,,,6,6,9,1,1,2,,,,2,,,,,,,,,,,,5,2,2,1,8,6,3,12,3,8,6,6,2,98,,,,1,110,11003,1,110,11003,1,110,11003,1,110,11003,1,1,1,,6,9,1,1,1,1,,11003
01,0110,01836937,12,1,5,1,1,1,2,2,2,2,2,2,1,2,,006,,,,006,,1,,,,,,1,2019,,,,,1,,,,,5,1,2,3,2,1,1,1,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,1,1,1,3,2,5,24,1,2,6,6,2,98,,,,1,110,11003,1,110,11003,1,110,11003,,,,2,5,,,,,,2,5,,,11003
01,0110,01836938,9,1,61,1,1,1,2,2,2,2,2,2,1,2,,006,,,,006,,2,6,3,3,,,1,1997,,,,,1,,,,,8,,1,4,5,2,1,3,1,2,1,,,,,7,7,9,3,3,9,,,,6,09,05,04,08,04,04,015,7,9999,1,1,13,2,3,1,7,5,2,5,2,7,6,6,1,98,97,3,0,6,603,60303,1,110,11003,1,110,11003,11,9998,999996,1,1,1,,7,9,3,1,1,1,,11003
01,0110,01836938,12,1,14,1,1,1,2,2,2,2,2,2,1,2,,006,,,,006,,2,6,3,3,,,1,2024,,,,,2,6,3,3,,5,1,1,8,2,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,6,99,99,99,99,99,99,999,88,9999,9,9,3,1,1,1,8,2,5,24,1,4,6,6,2,98,97,3,0,6,603,60303,1,110,11003,6,603,60303,,,,1,4,,1,,,,1,4,,1,11003
01,0110,01836938,1,1,43,1,1,2,1,2,2,2,2,2,2,2,,006,,,,006,,2,6,3,3,,,1,1996,,,,,1,,,,,8,,1,11,5,1,1,1,1,2,2,1,2,1,,2,2,2,16,16,1,,,,1,02,00,02,02,00,02,019,2,2005,1,1,9,2,2,1,11,5,4,17,2,6,6,6,2,98,2,3,0,6,603,60303,1,110,11003,1,110,11003,1,110,11003,1,1,1,,2,2,16,1,1,1,,11003
01,0110,01836939,3,2,27,1,1,1,2,2,2,1,1,1,9,1,013,006,,,,006,,1,,,,,,1,1996,,,,,1,,,,,8,,1,8,6,1,1,1,1,1,,,,,,7,7,1,6,6,2,,,,6,,,,,,,,,,,,6,2,2,3,8,6,3,12,2,6,6,6,2,15,,,,1,110,11003,1,110,11003,1,110,11003,1,110,11003,1,1,1,,7,1,6,1,1,1,,11003
01,0110,01836939,6,1,9,1,1,1,2,2,2,1,1,1,1,1,013,006,,,,006,,1,,,,,,1,2014,,,,,1,,,,,5,1,1,7,4,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,,,,,,,,,,,,,2,1,1,1,7,4,5,24,1,3,6,6,2,15,,,,1,110,11003,1,110,11003,1,110,11003,,,,1,4,,1,,,,1,4,,1,11003
01,0110,01836939,6,1,10,1,1,1,2,2,2,2,1,1,1,1,013,006,,,,006,,1,,,,,,1,2013,,,,,1,,,,,5,1,1,7,5,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,,,,,,,,,,,,,3,1,1,1,7,5,5,24,1,3,6,6,2,15,,,,1,110,11003,1,110,11003,1,110,11003,,,,1,4,,1,,,,1,4,,1,11003
01,0110,01836939,3,1,24,1,1,1,2,2,2,1,1,1,1,1,013,006,,,,006,,1,,,,,,1,1999,,,,,1,,,,,8,,1,8,6,1,1,1,1,1,,,,,,5,5,2,17,17,3,7,70101,,6,00,00,00,,,,,,,,,5,2,2,1,8,6,3,12,2,5,6,6,2,15,99,3,0,1,110,11003,1,110,11003,1,110,11003,7,701,70101,1,1,1,,5,2,17,1,1,1,,11003
01,0110,01836939,2,2,49,1,1,1,2,2,2,1,1,1,1,1,013,006,,,,006,,1,,,,,,1,1976,,,,,1,,,,,8,,1,5,3,2,1,1,1,1,,,,,,7,7,2,6,6,2,,,,1,,,,,,,,,,,,10,2,2,1,8,2,3,8,2,6,6,6,2,15,,,,1,110,11003,1,110,11003,1,110,11003,1,110,11003,1,1,1,,7,2,6,1,1,1,,11003
01,0110,01836939,1,1,51,1,1,1,2,2,2,1,1,1,1,1,013,006,012,,,012,,1,,,,,,1,1972,,,,,1,,,,,8,,1,7,3,2,2,1,1,2,2,2,,3,6,,,,0,,,,,,1,06,03,03,05,02,03,017,4,2014,1,1,11,2,2,1,7,3,2,3,2,6,6,12,2,15,2,3,0,1,110,11003,1,110,11003,1,110,11003,,,,1,4,,2,,,,1,4,,2,11003
01,0110,01836939,3,2,9,1,1,1,2,2,2,1,1,1,1,1,013,006,,,,006,,1,,,,,,1,2014,,,,,1,,,,,5,1,1,7,3,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,,,,,,,,,,,,,2,1,1,1,7,3,5,24,1,3,6,6,2,15,,,,1,110,11003,1,110,11003,1,110,11003,,,,1,4,,1,,,,1,4,,1,11003
01,0110,01836939,6,1,5,1,1,1,2,2,2,1,1,1,1,1,013,006,,,,006,,1,,,,,,1,2018,,,,,1,,,,,5,1,2,3,2,1,1,1,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,1,1,1,3,2,5,24,1,2,6,6,2,15,,,,1,110,11003,1,110,11003,1,110,11003,,,,2,5,,,,,,2,5,,,11003
