DEPAR,PROV,N_VIV,P24_PARENTES,P25_SEXO,P26_EDAD,P28_CN,P29_CI,P30A_PUBLIC,P30B_CAJA,P30C_PRIVAD,P30D_ATEDOM,P30E_TRADIC,P30F_AUTOME,P30G_CASERA,P31_AFILIADO,P32_PUEBLO_PER,P32_PUEBLO_COD,P331_IDIOHAB1_COD,P332_IDIOHAB2_COD,P333_IDIOHAB3_COD,P334_IDIOHAB_NO,P341_IDIOMAT_COD,P342_IDIOMAT_NO,P35_LUGNAC,P35J_DEPTOCOD,P35H1_PROVCOD,P35H_MUNCOD,P354_ANLLEGA,P353_PAISNAC_COD,P36_LUGRES,P361_ANRES,P36J_DEPTOCOD,P36H1_PROVCOD,P36H_MUNCOD,P363_PAISRES_COD,P37_LUGRES5,P37J_DEPTOCOD,P37H1_PROVCOD,P37H_MUNCOD,P373_PAISRES5_COD,P38_ASISTE,P39_TIPOEST,P40_LEE,P41A_NIVEL,P41B_CURSO,P42A_VER,P42B_OIR,P42C_CAMINA,P42D_COMUNI,P43_PAGO,P44_NEGO,P45_AGRO,P46_DEST,P47_OTRO,P48_NOCU,P49_OCU_1D,OCU_1D_19,P50_SEMP,P51_ACTEC_2D,ACT_ECO_2D_19,P52_MOV,P52_DEP_MOV_COD,P52_MUN_MOV_COD,P52_PAIS_MOV_COD,P53_ECIVIL,P54_HVTOT,P54A_HVTOT_MUJ,P54B_HVTOT_HOM,P55_HSTOT,P55A_HSTOT_MUJ,P55B_HSTOT_HOM,P56_EDADMAD,P57A_UHNACMES,P57B_UHNACAN,P58_UHSOBRE,P59_ATPARTO,EDAD_QUI,G_EDAD,G_EDAD_BOL,P31_COBERSALUD,P41A_NIVEL_ACT,P41B_CURSO_ACT,NIVEL_EDU,AESTUDIO,ASISTE,GEDADEDU,IDIOMA_MAYOR_USO,IDIOMA_MAT,P42_DISCAP,P32_PUEBLOS,HULTA,P59_PARTOCALIF,P59_MEF,DEP_NAC_COD,PROV_NAC_COD,MUN_NAC_COD,DEP_RES_COD,PROV_RES_COD,MUN_RES_COD,DEP_RES5_COD,PROV_RES5_COD,MUN_RES5_COD,DEP_LAB_COD,PROV_LAB_COD,MUN_LAB_COD,PET_19,CONDACT_19,FT_19,FFT_19,OCU_1D_13,P50_CATOCU_13,ACT_ECO_2D_13,PET_13,CONDACT_13,PEA_13,PEI_13,MUN
01,0103,01869835,12,1,15,1,1,1,2,2,2,2,1,1,1,2,,006,,,,006,,1,,,,,,1,2008,,,,,1,,,,,5,1,1,8,3,1,1,1,1,1,,,,,,5,5,2,7,7,2,,,,6,00,00,00,,,,,,,,,4,2,2,1,8,3,5,24,1,4,6,6,2,98,99,3,0,1,103,10302,1,103,10302,1,103,10302,1,103,10302,1,1,1,,5,2,7,1,1,1,,10302
01,0103,01869835,1,2,56,1,1,1,2,2,1,1,2,1,4,1,028,027,006,,,027,,1,,,,,,1,1967,,,,,1,,,,,8,,1,4,5,2,2,2,2,1,,,,,,5,5,2,15,15,2,,,,5,,,,,,,,,,,,12,2,2,2,7,5,2,5,2,6,27,27,2,40,,,,1,103,10302,1,103,10302,1,103,10302,1,103,10302,1,1,1,,5,2,15,1,1,1,,10302
01,0103,01869835,12,2,23,1,1,1,2,2,2,1,1,1,1,2,,027,006,,,027,,1,,,,,,1,2000,,,,,1,,,,,7,1,1,11,2,1,1,1,1,1,,,,,,2,2,2,6,6,2,,,,6,,,,,,,,,,,,5,2,2,1,11,2,4,14,1,5,27,27,2,98,,,,1,103,10302,1,103,10302,1,103,10302,1,103,10302,1,1,1,,2,2,6,1,1,1,,10302
01,0103,01869835,12,1,18,1,1,1,2,2,2,2,1,1,1,2,,006,027,,,006,,1,,,,,,1,2005,,,,,1,,,,,5,1,1,8,5,1,1,1,1,1,,,,,,5,5,2,7,7,2,,,,6,00,00,00,,,,,,,,,4,2,2,1,8,5,5,24,1,5,6,6,2,98,99,3,0,1,103,10302,1,103,10302,1,103,10302,1,103,10302,1,1,1,,5,2,7,1,1,1,,10302
01,0103,01869836,2,1,41,1,1,1,1,1,2,1,2,1,2,2,,006,,,,006,,2,1,1,1,,,2,,1,1,1,,2,1,1,1,,8,,1,10,3,1,1,1,1,1,,,,,,3,3,2,17,17,3,99,99999,,2,02,01,01,01,00,01,999,10,2022,1,1,9,2,2,1,10,3,4,15,2,6,6,6,2,98,2,1,1,1,101,10101,1,101,10101,1,101,10101,10,9997,999995,1,1,1,,3,2,17,1,1,1,,10302
01,0103,01869836,1,2,40,1,1,1,1,2,2,1,2,1,2,2,,006,,,,006,,2,3,5,1,,,2,,99,99,99,,2,1,1,1,,8,,1,11,5,1,1,1,1,1,,,,,,2,2,1,97,97,3,99,99999,,2,,,,,,,,,,,,9,2,2,1,11,5,4,17,2,6,6,6,2,98,,,,3,305,30501,99,9999,999999,1,101,10101,10,9997,999995,1,1,1,,2,1,97,1,1,1,,10302
01,0103,01869836,3,2,1,1,1,1,1,1,2,1,2,1,2,2,,006,,,,006,,2,1,1,1,,,2,,1,1,1,,4,,,,,8,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,2,1,6,6,,98,,,,1,101,10101,1,101,10101,0,0,0,,,,2,5,,,,,,2,5,,,10302
01,0103,01869837,1,2,45,1,1,1,2,2,2,1,2,1,1,1,028,006,,,,027,,1,,,,,,1,2010,,,,,1,,,,,8,,1,7,6,3,2,1,1,1,,,,,,7,7,1,3,3,1,,,,2,,,,,,,,,,,,10,2,2,1,7,6,2,6,2,6,6,27,1,40,,,,1,103,10302,1,103,10302,1,103,10302,1,103,10302,1,1,1,,7,1,3,1,1,1,,10302
01,0103,01869837,3,1,9,1,1,1,2,2,2,2,2,2,9,2,,006,,,,006,,2,1,1,1,,,1,2015,,,,,1,,,,,5,1,1,7,3,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,,,,,,,,,,,,,2,1,1,3,7,3,5,24,1,3,6,6,2,98,,,,1,101,10101,1,103,10302,1,103,10302,,,,1,4,,1,,,,1,4,,1,10302
01,0103,01869837,3,1,16,1,1,1,2,2,2,1,1,1,1,2,,006,,,,006,,2,1,99,99,,,1,2010,,,,,1,,,,,5,1,1,8,4,3,1,1,1,2,1,,,,,5,5,4,9,9,2,,,,6,00,00,00,,,,,,,,,4,2,2,1,8,4,5,24,1,4,6,6,1,98,99,3,0,1,199,19999,1,103,10302,1,103,10302,1,103,10302,1,1,1,,5,4,9,1,1,1,,10302
01,0103,01869837,3,1,13,1,1,1,2,2,2,1,1,1,1,2,,006,,,,006,,2,1,99,99,,,1,2010,,,,,1,,,,,5,1,1,8,2,1,1,1,1,2,1,,,,,5,5,4,9,9,2,,,,6,00,00,00,,,,,,,,,3,1,1,1,8,2,5,24,1,4,6,6,2,98,99,3,0,1,199,19999,1,103,10302,1,103,10302,1,103,10302,1,1,1,,5,4,9,1,1,1,,10302
01,0103,01869837,2,1,36,1,1,1,2,2,2,1,1,1,1,2,,006,027,,,006,,1,,,,,,1,2010,,,,,1,,,,,8,,1,8,6,2,1,1,1,1,,,,,,5,5,1,9,9,2,,,,2,03,03,00,03,03,00,020,2,2015,1,1,8,2,2,1,8,6,3,12,2,6,6,6,2,98,2,3,0,1,103,10302,1,103,10302,1,103,10302,1,103,10302,1,1,1,,5,1,9,1,1,1,,10302
01,0103,01869838,1,1,23,1,1,9,9,9,9,9,9,9,9,2,,006,027,,,027,,1,,,,,,1,2003,,,,,1,,,,,6,1,1,9,2,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,6,99,99,99,99,99,99,999,88,9999,9,9,5,2,2,3,9,2,4,14,1,5,6,27,2,98,97,3,0,1,103,10302,1,103,10302,1,103,10302,,,,1,4,,1,,,,1,4,,1,10302
01,0103,01869839,3,1,6,1,1,1,1,2,1,1,1,1,1,1,028,027,006,,,027,,1,,,,,,1,2017,,,,,1,,,,,5,1,1,3,2,1,1,1,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,1,1,1,3,2,5,24,1,3,27,27,2,40,,,,1,103,10302,1,103,10302,1,103,10302,,,,2,5,,,,,,2,5,,,10302
01,0103,01869839,3,1,18,1,1,1,1,2,1,1,1,1,1,1,028,006,027,,,027,,1,,,,,,1,2005,,,,,1,,,,,7,1,1,8,6,2,1,1,1,1,,,,,,5,5,2,17,17,3,1,10101,,6,00,00,00,,,,,,,,,4,2,2,1,8,6,5,24,1,5,6,27,2,40,99,3,0,1,103,10302,1,103,10302,1,103,10302,1,101,10101,1,1,1,,5,2,17,1,1,1,,10302
01,0103,01869839,3,2,20,1,1,1,1,2,2,2,1,1,1,1,028,006,027,,,027,,1,,,,,,1,2004,,,,,2,7,99,99,,7,1,1,8,6,1,1,1,1,1,,,,,,7,7,2,7,7,3,7,70101,,6,,,,,,,,,,,,5,2,2,1,8,6,3,12,1,5,6,27,2,40,,,,1,103,10302,1,103,10302,7,799,79999,7,701,70101,1,1,1,,7,2,7,1,1,1,,10302
01,0103,01869839,3,2,10,1,1,1,1,2,1,1,1,1,1,1,028,027,006,,,027,,1,,,,,,1,2013,,,,,1,,,,,5,1,1,7,4,1,1,1,2,1,,,,,,9,9,2,14,14,2,,,,,,,,,,,,,,,,3,1,1,1,7,4,5,24,1,3,27,27,2,40,,,,1,103,10302,1,103,10302,1,103,10302,1,103,10302,1,1,1,,9,2,14,1,1,1,,10302
01,0103,01869839,3,2,16,1,1,1,1,2,1,1,1,1,1,1,028,006,027,,,027,,1,,,,,,1,2007,,,,,1,,,,,5,1,1,8,5,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,6,,,,,,,,,,,,4,2,2,1,8,5,5,24,1,4,6,27,2,40,,,,1,103,10302,1,103,10302,1,103,10302,,,,1,4,,1,,,,1,4,,1,10302
01,0103,01869839,1,1,44,1,1,1,1,2,1,1,1,1,1,1,028,027,006,,,027,,1,,,,,,1,1979,,,,,1,,,,,1,1,1,2,0,1,1,1,2,2,1,,,,,7,7,1,3,3,1,,,,1,10,04,06,09,04,05,018,4,2019,1,1,9,2,2,1,2,0,1,0,1,6,27,27,2,40,2,1,1,1,103,10302,1,103,10302,1,103,10302,1,103,10302,1,1,1,,7,1,3,1,1,1,,10302
01,0103,01869839,3,1,4,1,1,1,1,2,1,1,1,1,1,1,028,006,027,,,006,,1,,,,,,1,2019,,,,,4,,,,,5,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,2,6,6,,40,,,,1,103,10302,1,103,10302,0,0,0,,,,2,5,,,,,,2,5,,,10302
01,0103,01869840,1,2,49,1,1,1,2,2,2,2,2,1,1,2,,006,027,,,027,,2,5,4,2,,,1,2022,,,,,2,1,1,1,,8,,1,10,3,1,1,1,1,1,,,,,,8,8,2,15,15,2,,,,1,,,,,,,,,,,,10,2,2,1,10,3,4,15,2,6,6,27,2,98,,,,5,504,50402,1,103,10302,1,101,10101,1,103,10302,1,1,1,,8,2,15,1,1,1,,10302
01,0103,01869845,15,1,52,1,1,2,1,2,2,2,2,2,2,2,,006,,,,006,,2,1,1,1,,,1,9999,,,,,2,1,1,1,,9,9,1,6,4,1,1,1,1,1,,,,,,5,5,9,9,9,1,,,,4,03,01,02,02,00,02,999,88,9999,1,1,11,2,2,1,8,6,3,12,3,8,6,6,2,98,97,3,0,1,101,10101,1,103,10302,1,101,10101,1,103,10302,1,1,1,,5,9,9,1,1,1,,10302
01,0103,01869845,15,2,46,1,1,1,1,2,2,2,2,2,1,2,,027,006,,,027,,1,,,,,,1,9999,,,,,1,,,,,8,,1,4,5,1,1,1,1,2,2,1,1,,,9,9,2,14,14,2,,,,9,,,,,,,,,,,,10,2,2,1,7,5,2,5,2,6,27,27,2,98,,,,1,103,10302,1,103,10302,1,103,10302,1,103,10302,1,1,1,,9,2,14,1,1,1,,10302
01,0103,01869845,15,2,29,1,1,2,1,2,2,2,2,2,2,2,,027,006,,,027,,1,,,,,,1,9999,,,,,1,,,,,8,,1,8,3,1,1,1,1,2,2,1,1,,,8,8,2,2,2,2,,,,9,,,,,,,,,,,,6,2,2,1,8,3,3,9,2,6,27,27,2,98,,,,1,103,10302,1,103,10302,1,103,10302,1,103,10302,1,1,1,,8,2,2,1,1,1,,10302
01,0103,01869845,15,1,35,1,1,2,1,2,2,2,2,2,2,2,,006,,,,006,,2,2,1,1,,,1,9999,,,,,2,3,1,1,,8,,1,6,4,1,1,1,1,1,,,,,,5,5,9,9,9,1,,,,6,02,01,01,02,01,01,021,88,2013,1,1,8,2,2,1,8,6,3,12,2,6,6,6,2,98,97,3,0,2,201,20101,1,103,10302,3,301,30101,1,103,10302,1,1,1,,5,9,9,1,1,1,,10302
01,0103,01869845,15,2,41,1,1,2,1,2,2,2,2,2,2,2,,006,,,,006,,2,1,1,1,,,2,,1,1,1,,2,1,1,1,,8,,1,12,1,1,1,1,1,1,,,,,,2,2,2,97,97,3,7,71003,,1,,,,,,,,,,,,9,2,2,1,12,1,4,18,2,6,6,6,2,98,,,,1,101,10101,1,101,10101,1,101,10101,7,710,71003,1,1,1,,2,2,97,1,1,1,,10302
01,0103,01869845,15,2,38,1,1,1,1,2,2,2,2,2,1,9,,006,,,,006,,2,1,1,1,,,1,9999,,,,,9,,,,,8,,1,11,5,2,2,2,1,2,2,1,2,1,,97,97,2,97,97,1,,,,9,,,,,,,,,,,,8,2,2,1,11,5,4,17,2,6,6,6,2,99,,,,1,101,10101,1,103,10302,0,0,0,1,103,10302,1,1,1,,97,2,97,1,1,1,,10302
01,0103,01869845,15,2,35,1,1,2,1,2,2,2,2,2,2,2,,006,054,,,006,,2,1,1,1,,,2,,1,1,1,,2,1,1,1,,8,,1,10,3,1,1,1,1,1,,,,,,97,97,2,97,97,2,,,,9,,,,,,,,,,,,8,2,2,1,10,3,4,15,2,6,6,6,2,98,,,,1,101,10101,1,101,10101,1,101,10101,1,103,10302,1,1,1,,97,2,97,1,1,1,,10302
01,0103,01869846,2,2,26,1,1,1,2,2,2,2,2,2,1,2,,027,006,,,027,,1,,,,,,1,9999,,,,,9,,,,,9,9,9,99,9,9,9,9,9,9,9,9,9,9,9,,,,0,,,,,,9,,,,,,,,,,,,6,2,2,1,99,9,5,24,3,8,27,27,9,98,,,,1,103,10302,1,103,10302,0,0,0,,,,9,9,8,8,,,,9,9,8,8,10302
01,0103,01869846,3,2,28,1,1,1,2,2,2,2,2,2,4,2,,027,006,,,027,,1,,,,,,1,9999,,,,,1,,,,,9,9,9,99,9,9,9,9,9,9,9,9,9,9,9,,,,0,,,,,,9,,,,,,,,,,,,6,2,2,2,99,9,5,24,3,8,27,27,9,98,,,,1,103,10302,1,103,10302,1,103,10302,,,,9,9,8,8,,,,9,9,8,8,10302
01,0103,01869846,1,1,55,1,1,1,2,2,2,2,2,2,9,2,,027,,,,027,,2,1,4,2,,,1,9999,,,,,1,,,,,8,,2,1,0,1,1,1,1,9,9,9,9,9,9,,,,0,,,,,,9,99,99,99,99,99,99,999,88,9999,9,9,12,2,2,3,1,0,1,0,2,6,27,27,2,98,97,3,0,1,104,10402,1,103,10302,1,103,10302,,,,9,9,8,8,,,,9,9,8,8,10302
