DEPAR,PROV,N_VIV,P24_PARENTES,P25_SEXO,P26_EDAD,P28_CN,P29_CI,P30A_PUBLIC,P30B_CAJA,P30C_PRIVAD,P30D_ATEDOM,P30E_TRADIC,P30F_AUTOME,P30G_CASERA,P31_AFILIADO,P32_PUEBLO_PER,P32_PUEBLO_COD,P331_IDIOHAB1_COD,P332_IDIOHAB2_COD,P333_IDIOHAB3_COD,P334_IDIOHAB_NO,P341_IDIOMAT_COD,P342_IDIOMAT_NO,P35_LUGNAC,P35J_DEPTOCOD,P35H1_PROVCOD,P35H_MUNCOD,P354_ANLLEGA,P353_PAISNAC_COD,P36_LUGRES,P361_ANRES,P36J_DEPTOCOD,P36H1_PROVCOD,P36H_MUNCOD,P363_PAISRES_COD,P37_LUGRES5,P37J_DEPTOCOD,P37H1_PROVCOD,P37H_MUNCOD,P373_PAISRES5_COD,P38_ASISTE,P39_TIPOEST,P40_LEE,P41A_NIVEL,P41B_CURSO,P42A_VER,P42B_OIR,P42C_CAMINA,P42D_COMUNI,P43_PAGO,P44_NEGO,P45_AGRO,P46_DEST,P47_OTRO,P48_NOCU,P49_OCU_1D,OCU_1D_19,P50_SEMP,P51_ACTEC_2D,ACT_ECO_2D_19,P52_MOV,P52_DEP_MOV_COD,P52_MUN_MOV_COD,P52_PAIS_MOV_COD,P53_ECIVIL,P54_HVTOT,P54A_HVTOT_MUJ,P54B_HVTOT_HOM,P55_HSTOT,P55A_HSTOT_MUJ,P55B_HSTOT_HOM,P56_EDADMAD,P57A_UHNACMES,P57B_UHNACAN,P58_UHSOBRE,P59_ATPARTO,EDAD_QUI,G_EDAD,G_EDAD_BOL,P31_COBERSALUD,P41A_NIVEL_ACT,P41B_CURSO_ACT,NIVEL_EDU,AESTUDIO,ASISTE,GEDADEDU,IDIOMA_MAYOR_USO,IDIOMA_MAT,P42_DISCAP,P32_PUEBLOS,HULTA,P59_PARTOCALIF,P59_MEF,DEP_NAC_COD,PROV_NAC_COD,MUN_NAC_COD,DEP_RES_COD,PROV_RES_COD,MUN_RES_COD,DEP_RES5_COD,PROV_RES5_COD,MUN_RES5_COD,DEP_LAB_COD,PROV_LAB_COD,MUN_LAB_COD,PET_19,CONDACT_19,FT_19,FFT_19,OCU_1D_13,P50_CATOCU_13,ACT_ECO_2D_13,PET_13,CONDACT_13,PEA_13,PEI_13,MUN
01,0102,01867155,2,1,33,1,1,1,2,1,2,2,1,2,4,1,028,027,006,,,027,,2,5,6,99,,,1,2019,,,,,1,,,,,8,,1,11,5,1,1,1,1,1,,,,,,2,2,2,16,16,2,,,,1,03,01,02,03,01,02,019,2,2017,1,1,7,2,2,2,11,5,4,17,2,6,27,27,2,40,2,3,0,5,506,50699,1,102,10201,1,102,10201,1,102,10201,1,1,1,,2,2,16,1,1,1,,10201
01,0102,01867155,3,2,7,1,1,1,2,1,2,2,2,2,4,2,,006,,,,006,,2,1,1,99,,,1,2019,,,,,1,,,,,5,1,1,7,1,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,,,,,,,,,,,,,2,1,1,2,7,1,5,24,1,3,6,6,2,98,,,,1,101,10199,1,102,10201,1,102,10201,,,,1,4,,1,,,,1,4,,1,10201
01,0102,01867155,3,1,7,1,1,1,2,2,2,2,2,2,4,2,,006,,,,006,,2,1,1,99,,,1,2019,,,,,1,,,,,5,1,1,7,1,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,,,,,,,,,,,,,2,1,1,2,7,1,5,24,1,3,6,6,2,98,,,,1,101,10199,1,102,10201,1,102,10201,,,,1,4,,1,,,,1,4,,1,10201
01,0102,01867155,1,2,35,1,1,1,2,1,2,1,1,1,4,2,,006,,,,006,,2,1,6,1,,,1,2019,,,,,1,,,,,8,,1,11,5,1,1,1,1,1,,,,,,2,2,2,16,16,1,,,,1,,,,,,,,,,,,8,2,2,2,11,5,4,17,2,6,6,6,2,98,,,,1,106,10601,1,102,10201,1,102,10201,1,102,10201,1,1,1,,2,2,16,1,1,1,,10201
01,0102,01867155,3,2,13,1,1,1,2,2,2,2,2,2,4,2,,006,,,,006,,2,3,16,2,,,1,2024,,,,,2,3,16,2,,5,1,1,8,1,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,6,,,,,,,,,,,,3,1,1,2,8,1,5,24,1,4,6,6,2,98,,,,3,316,31602,1,102,10201,3,316,31602,,,,1,4,,1,,,,1,4,,1,10201
01,0102,01867157,2,1,59,1,1,1,2,2,2,2,2,2,1,1,999,027,006,,,027,,1,,,,,,1,9999,,,,,1,,,,,8,,2,7,1,3,1,2,1,2,2,1,1,,,6,6,1,1,1,2,,,,6,06,04,02,06,04,02,025,11,1997,1,4,12,2,2,1,7,1,2,1,2,6,27,27,1,57,2,3,0,1,102,10201,1,102,10201,1,102,10201,1,102,10201,1,1,1,,6,1,1,1,1,1,,10201
01,0102,01867157,1,2,64,1,1,1,2,2,2,2,2,2,1,1,999,027,006,,,027,,1,,,,,,1,9999,,,,,1,,,,,8,,1,7,3,2,1,2,1,2,2,1,1,,,6,6,1,1,1,2,,,,6,,,,,,,,,,,,13,2,3,1,7,3,2,3,2,7,27,27,2,57,,,,1,102,10201,1,102,10201,1,102,10201,1,102,10201,1,1,1,,6,1,1,1,1,1,,10201
01,0102,01867158,2,1,21,1,1,1,2,2,2,2,2,2,1,1,028,027,006,,,027,,1,,,,,,2,,99,99,99,,2,99,99,99,,8,,1,8,3,1,1,1,1,2,2,1,2,3,6,,,,0,,,,,,6,01,00,01,01,00,01,019,10,2023,1,3,5,2,2,1,8,3,3,9,2,5,27,27,2,40,1,1,3,1,102,10201,99,9999,999999,99,9999,999999,,,,1,4,,2,6,4,1,1,1,1,,10201
01,0102,01867158,1,2,20,1,1,1,2,2,2,2,2,2,1,1,028,027,006,,,027,,1,,,,,,1,9999,,,,,2,7,99,99,,8,,1,8,2,1,1,1,1,2,1,,,,,6,6,1,1,1,2,,,,6,,,,,,,,,,,,5,2,2,1,8,2,3,8,2,5,27,27,2,40,,,,1,102,10201,1,102,10201,7,799,79999,1,102,10201,1,1,1,,6,1,1,1,1,1,,10201
01,0102,01867159,3,1,8,1,1,1,2,2,2,2,2,1,4,2,,027,006,,,027,,1,,,,,,1,2016,,,,,1,,,,,5,1,9,7,2,1,1,1,2,2,2,2,,3,4,,,,0,,,,,,,,,,,,,,,,,,2,1,1,2,7,2,5,24,1,3,27,27,2,98,,,,1,102,10201,1,102,10201,1,102,10201,,,,1,4,,1,,,,1,4,,1,10201
01,0102,01867159,1,1,36,1,1,1,2,2,2,2,2,1,4,2,,027,006,,,027,,2,7,99,99,,,1,9999,,,,,1,,,,,8,,1,7,3,2,2,2,2,2,2,1,1,,,6,6,1,1,1,1,,,,3,05,03,02,05,03,02,019,7,2019,1,8,8,2,2,2,7,3,2,3,2,6,27,27,2,98,2,2,8,7,799,79999,1,102,10201,1,102,10201,1,102,10201,1,1,1,,6,1,1,1,1,1,,10201
01,0102,01867159,3,1,17,1,1,1,2,2,2,2,2,1,4,2,,027,006,,,006,,1,,,,,,1,2006,,,,,1,,,,,5,1,1,8,5,1,1,1,1,2,2,1,2,3,4,,,,0,,,,,,6,99,99,99,99,99,99,999,88,9999,9,9,4,2,2,2,8,5,5,24,1,4,27,6,2,98,97,3,0,1,102,10201,1,102,10201,1,102,10201,,,,1,4,,1,6,4,1,1,1,1,,10201
01,0102,01867159,3,2,14,1,1,1,2,2,2,2,2,1,4,2,,027,006,,,027,,2,7,99,99,,,1,2009,,,,,1,,,,,5,1,1,8,4,1,1,1,2,2,2,2,,1,,6,6,1,1,1,1,,,,6,,,,,,,,,,,,3,1,1,2,8,4,5,24,1,4,27,27,2,98,,,,7,799,79999,1,102,10201,1,102,10201,1,102,10201,1,1,1,,6,1,1,1,1,1,,10201
01,0102,01867159,3,1,4,1,1,1,2,2,2,2,2,1,4,2,,006,027,,,006,,1,,,,,,1,2021,,,,,4,,,,,8,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,1,1,2,,,,,2,2,6,6,,98,,,,1,102,10201,1,102,10201,0,0,0,,,,2,5,,,,,,2,5,,,10201
01,0102,01867159,3,2,10,1,1,1,2,2,2,2,2,1,4,2,,027,006,,,027,,1,,,,,,1,2015,,,,,1,,,,,5,1,1,7,5,1,1,1,1,2,2,2,,1,,9,9,1,1,1,1,,,,,,,,,,,,,,,,3,1,1,2,7,5,5,24,1,3,27,27,2,98,,,,1,102,10201,1,102,10201,1,102,10201,1,102,10201,1,1,1,,9,1,1,1,1,1,,10201
01,0102,01867160,1,2,26,1,1,1,2,2,2,2,2,2,1,2,,006,,,,006,,2,1,8,1,,,1,2022,,,,,2,1,8,1,,8,,1,11,1,1,1,1,1,2,2,2,,1,,2,2,9,16,16,2,,,,2,,,,,,,,,,,,6,2,2,1,11,1,4,13,2,6,6,6,2,98,,,,1,108,10801,1,102,10201,1,108,10801,1,102,10201,1,1,1,,2,9,16,1,1,1,,10201
01,0102,01867161,1,2,38,1,1,1,2,2,2,1,1,1,2,1,028,006,027,,,027,,1,,,,,,1,2013,,,,,1,,,,,8,,1,11,2,1,1,1,1,1,,,,,,2,2,9,16,16,1,,,,2,,,,,,,,,,,,8,2,2,1,11,2,4,14,2,6,6,27,2,40,,,,1,102,10201,1,102,10201,1,102,10201,1,102,10201,1,1,1,,2,9,16,1,1,1,,10201
01,0102,01867161,2,1,33,1,1,1,2,1,2,2,1,1,2,1,028,006,,,,006,,1,,,,,,1,2012,,,,,1,,,,,8,,1,11,5,1,1,1,1,2,2,2,,1,,2,2,2,16,16,2,,,,2,01,00,01,01,00,01,021,4,2012,1,1,7,2,2,1,11,5,4,17,2,6,6,6,2,40,2,3,0,1,102,10201,1,102,10201,1,102,10201,1,102,10201,1,1,1,,2,2,16,1,1,1,,10201
01,0102,01867163,3,2,12,1,1,1,2,2,2,2,2,1,1,1,028,027,006,,,027,,1,,,,,,1,2011,,,,,1,,,,,8,,1,7,6,1,1,1,1,2,2,1,2,3,6,,,,0,,,,,,6,,,,,,,,,,,,3,1,1,1,7,6,5,24,2,4,27,27,2,40,,,,1,102,10201,1,102,10201,1,102,10201,,,,1,4,,2,6,4,1,1,1,1,,10201
01,0102,01867163,3,2,8,1,1,1,2,2,2,2,2,1,1,1,028,027,006,,,027,,2,6,99,99,,,1,2018,,,,,1,,,,,5,1,1,7,2,1,1,1,1,2,2,1,2,3,6,,,,0,,,,,,,,,,,,,,,,,,2,1,1,1,7,2,5,24,1,3,27,27,2,40,,,,6,699,69999,1,102,10201,1,102,10201,,,,1,4,,2,6,4,1,1,1,1,,10201
01,0102,01867163,1,1,41,1,1,1,2,2,2,2,2,1,4,1,028,027,,,,027,,1,,,,,,1,1982,,,,,1,,,,,8,,1,7,4,1,1,1,1,2,2,1,2,3,6,,,,0,,,,,,6,06,01,05,05,00,05,023,9,2015,9,6,9,2,2,2,7,4,2,4,2,6,27,27,2,40,2,3,0,1,102,10201,1,102,10201,1,102,10201,,,,1,4,,2,6,1,1,1,1,1,,10201
01,0102,01867163,2,2,41,1,1,1,2,2,2,2,2,1,1,1,028,027,,,,027,,1,,,,,,1,9999,,,,,1,,,,,8,,1,7,4,1,1,1,1,2,2,1,1,,,6,6,4,1,1,2,,,,9,,,,,,,,,,,,9,2,2,1,7,4,2,4,2,6,27,27,2,40,,,,1,102,10201,1,102,10201,1,102,10201,1,102,10201,1,1,1,,6,4,1,1,1,1,,10201
