DEPAR,PROV,N_VIV,P24_PARENTES,P25_SEXO,P26_EDAD,P28_CN,P29_CI,P30A_PUBLIC,P30B_CAJA,P30C_PRIVAD,P30D_ATEDOM,P30E_TRADIC,P30F_AUTOME,P30G_CASERA,P31_AFILIADO,P32_PUEBLO_PER,P32_PUEBLO_COD,P331_IDIOHAB1_COD,P332_IDIOHAB2_COD,P333_IDIOHAB3_COD,P334_IDIOHAB_NO,P341_IDIOMAT_COD,P342_IDIOMAT_NO,P35_LUGNAC,P35J_DEPTOCOD,P35H1_PROVCOD,P35H_MUNCOD,P354_ANLLEGA,P353_PAISNAC_COD,P36_LUGRES,P361_ANRES,P36J_DEPTOCOD,P36H1_PROVCOD,P36H_MUNCOD,P363_PAISRES_COD,P37_LUGRES5,P37J_DEPTOCOD,P37H1_PROVCOD,P37H_MUNCOD,P373_PAISRES5_COD,P38_ASISTE,P39_TIPOEST,P40_LEE,P41A_NIVEL,P41B_CURSO,P42A_VER,P42B_OIR,P42C_CAMINA,P42D_COMUNI,P43_PAGO,P44_NEGO,P45_AGRO,P46_DEST,P47_OTRO,P48_NOCU,P49_OCU_1D,OCU_1D_19,P50_SEMP,P51_ACTEC_2D,ACT_ECO_2D_19,P52_MOV,P52_DEP_MOV_COD,P52_MUN_MOV_COD,P52_PAIS_MOV_COD,P53_ECIVIL,P54_HVTOT,P54A_HVTOT_MUJ,P54B_HVTOT_HOM,P55_HSTOT,P55A_HSTOT_MUJ,P55B_HSTOT_HOM,P56_EDADMAD,P57A_UHNACMES,P57B_UHNACAN,P58_UHSOBRE,P59_ATPARTO,EDAD_QUI,G_EDAD,G_EDAD_BOL,P31_COBERSALUD,P41A_NIVEL_ACT,P41B_CURSO_ACT,NIVEL_EDU,AESTUDIO,ASISTE,GEDADEDU,IDIOMA_MAYOR_USO,IDIOMA_MAT,P42_DISCAP,P32_PUEBLOS,HULTA,P59_PARTOCALIF,P59_MEF,DEP_NAC_COD,PROV_NAC_COD,MUN_NAC_COD,DEP_RES_COD,PROV_RES_COD,MUN_RES_COD,DEP_RES5_COD,PROV_RES5_COD,MUN_RES5_COD,DEP_LAB_COD,PROV_LAB_COD,MUN_LAB_COD,PET_19,CONDACT_19,FT_19,FFT_19,OCU_1D_13,P50_CATOCU_13,ACT_ECO_2D_13,PET_13,CONDACT_13,PEA_13,PEI_13,MUN
01,0106,01867261,1,2,74,1,1,1,2,2,2,2,2,2,1,1,028,027,,,,027,,1,,,,,,1,1949,,,,,1,,,,,1,1,1,4,1,3,3,3,3,2,1,,,,,6,6,1,1,1,1,,,,6,,,,,,,,,,,,15,3,3,1,7,1,2,1,1,7,27,27,1,40,,,,1,106,10601,1,106,10601,1,106,10601,1,106,10601,1,1,1,,6,1,1,1,1,1,,10601
01,0106,01867262,2,1,53,1,1,1,2,2,2,1,2,2,1,2,,,,,1,,1,9,,,,,,9,,,,,,9,,,,,9,9,9,99,9,9,9,9,9,9,9,9,9,9,9,,,,0,,,,,,1,99,99,99,99,99,99,999,88,9999,9,9,11,2,2,3,99,9,5,24,3,8,998,998,9,98,97,3,0,0,0,0,0,0,0,0,0,0,,,,0,0,8,8,,,,0,0,8,8,10601
01,0106,01867262,1,2,90,1,1,1,2,2,2,2,2,2,1,1,028,027,,,,027,,1,,,,,,1,1933,,,,,1,,,,,1,1,2,3,1,2,4,4,4,1,,,,,,9,9,9,1,1,1,,,,1,,,,,,,,,,,,19,3,3,1,3,1,1,0,1,7,27,27,1,40,,,,1,106,10601,1,106,10601,1,106,10601,1,106,10601,1,1,1,,9,9,1,1,1,1,,10601
01,0106,01867263,1,2,50,1,1,1,2,2,1,1,1,1,1,1,028,027,,,,027,,1,,,,,,1,1973,,,,,1,,,,,8,,2,3,2,2,3,2,2,1,,,,,,6,6,1,1,1,1,,,,5,,,,,,,,,,,,11,2,2,1,3,2,1,0,2,6,27,27,1,40,,,,1,106,10601,1,106,10601,1,106,10601,1,106,10601,1,1,1,,6,1,1,1,1,1,,10601
01,0106,01868848,3,1,13,1,1,1,2,2,2,2,1,1,1,1,028,006,027,,,006,,2,1,1,99,,,1,9999,,,,,1,,,,,5,1,1,8,1,2,1,1,1,2,1,,,,,99,99,1,99,99,1,,,,6,99,99,99,99,99,99,999,88,9999,9,9,3,1,1,1,8,1,5,24,1,4,6,6,2,40,97,3,0,1,101,10199,1,106,10601,1,106,10601,1,106,10601,1,1,1,,99,1,99,1,1,1,,10601
01,0106,01868848,2,2,40,1,1,1,2,2,2,1,2,1,1,1,028,027,006,,,027,,1,,,,,,1,1983,,,,,1,,,,,8,,1,5,1,1,1,1,2,2,2,1,1,,,97,97,1,97,97,2,,,,2,,,,,,,,,,,,9,2,2,1,7,6,2,6,2,6,27,27,2,40,,,,1,106,10601,1,106,10601,1,106,10601,1,106,10601,1,1,1,,97,1,97,1,1,1,,10601
01,0106,01868848,1,1,36,1,1,1,2,2,2,2,1,1,1,1,028,027,006,,,027,,1,,,,,,1,9999,,,,,1,,,,,8,,1,4,5,1,1,1,1,2,2,1,2,1,,5,5,1,7,7,2,,,,2,03,02,01,03,02,01,018,6,2021,1,3,8,2,2,1,7,5,2,5,2,6,27,27,2,40,2,1,3,1,106,10601,1,106,10601,1,106,10601,1,106,10601,1,1,1,,5,1,7,1,1,1,,10601
01,0106,01868848,3,1,2,1,1,1,2,2,2,2,1,1,1,1,028,006,027,,,006,,2,1,1,99,,,1,9999,,,,,4,,,,,8,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,2,1,6,6,,40,,,,1,101,10199,1,106,10601,0,0,0,,,,2,5,,,,,,2,5,,,10601
01,0106,01868848,3,2,17,1,1,1,2,2,2,2,2,2,4,2,,006,027,054,,006,,2,7,1,1,,,1,2020,,,,,2,1,1,1,,5,1,1,8,5,1,1,1,1,1,,,,,,7,7,2,6,6,2,,,,6,,,,,,,,,,,,4,2,2,2,8,5,5,24,1,4,6,6,2,98,,,,7,701,70101,1,106,10601,1,101,10101,1,106,10601,1,1,1,,7,2,6,1,1,1,,10601
01,0106,01869530,3,1,25,1,1,1,2,2,2,2,2,2,1,2,,027,006,,,027,,1,,,,,,1,1998,,,,,1,,,,,8,,1,9,2,1,2,1,1,2,2,2,,1,,5,5,1,9,9,2,,,,6,00,00,00,,,,,,,,,6,2,2,1,9,2,4,14,2,6,27,27,2,98,99,3,0,1,106,10601,1,106,10601,1,106,10601,1,106,10601,1,1,1,,5,1,9,1,1,1,,10601
01,0106,01869530,1,1,67,1,1,1,2,2,2,2,2,2,1,2,,027,,,,027,,1,,,,,,1,1956,,,,,1,,,,,8,,2,1,0,2,1,2,1,2,2,2,,3,6,,,,0,,,,,,5,06,03,03,06,03,03,022,6,1998,1,2,14,3,3,1,1,0,1,0,2,7,27,27,2,98,2,3,0,1,106,10601,1,106,10601,1,106,10601,,,,1,4,,2,,,,1,4,,2,10601
01,0106,01869530,6,1,17,1,1,1,2,2,2,2,2,2,1,2,,006,,,,006,,1,,,,,,1,2006,,,,,1,,,,,5,1,1,8,5,2,2,1,1,2,2,2,,3,4,,,,0,,,,,,6,00,00,00,,,,,,,,,4,2,2,1,8,5,5,24,1,4,6,6,2,98,99,3,0,1,106,10601,1,106,10601,1,106,10601,,,,1,4,,1,,,,1,4,,1,10601
01,0106,01869531,16,1,23,1,1,1,2,2,2,2,1,1,1,1,028,006,027,,,027,,2,1,4,2,,,2,,1,4,2,,2,1,4,2,,8,,1,10,3,1,1,1,1,1,,,,,,97,97,2,13,13,2,,,,6,99,99,99,99,99,99,999,88,9999,9,9,5,2,2,1,10,3,4,15,2,5,6,27,2,40,97,3,0,1,104,10402,1,104,10402,1,104,10402,1,106,10601,1,1,1,,97,2,13,1,1,1,,10601
01,0106,01869531,16,1,37,1,1,1,2,2,2,1,1,1,1,1,028,006,027,,,027,,2,1,4,2,,,1,2013,,,,,1,,,,,7,1,1,11,4,1,1,1,1,1,,,,,,99,99,2,99,99,1,,,,2,01,00,01,01,00,01,025,3,9999,1,1,8,2,2,1,11,4,4,16,1,6,6,27,2,40,97,3,0,1,104,10402,1,106,10601,1,106,10601,1,106,10601,1,1,1,,99,2,99,1,1,1,,10601
01,0106,01869532,7,1,17,1,1,2,2,2,2,1,2,1,1,1,028,027,006,,,027,,1,,,,,,1,2006,,,,,1,,,,,2,1,1,8,6,2,1,1,1,1,,,,,,9,9,5,20,20,2,,,,6,00,00,00,,,,,,,,,4,2,2,1,8,6,5,24,1,4,27,27,2,40,99,3,0,1,106,10601,1,106,10601,1,106,10601,1,106,10601,1,1,1,,9,5,20,1,1,1,,10601
01,0106,01869532,1,2,25,1,1,1,2,2,2,1,2,1,1,1,028,027,006,,,027,,1,,,,,,1,2006,,,,,1,,,,,7,1,1,9,2,2,1,1,1,1,,,,,,5,5,1,19,19,3,1,10101,,3,,,,,,,,,,,,6,2,2,1,9,2,4,14,1,6,27,27,2,40,,,,1,106,10601,1,106,10601,1,106,10601,1,101,10101,1,1,1,,5,1,19,1,1,1,,10601
01,0106,01869532,7,2,22,1,1,2,2,2,2,1,2,1,1,1,028,027,006,,,027,,1,,,,,,1,2006,,,,,1,,,,,8,,1,8,3,1,1,1,1,2,1,,,,,5,5,3,19,19,9,,,,6,,,,,,,,,,,,5,2,2,1,8,3,3,9,2,5,27,27,2,40,,,,1,106,10601,1,106,10601,1,106,10601,11,9998,999996,1,1,1,,5,3,19,1,1,1,,10601
01,0106,01869533,3,1,16,1,1,1,2,2,2,2,2,2,1,1,028,006,027,054,,027,,1,,,,,,1,2007,,,,,1,,,,,5,1,1,8,4,2,1,1,1,2,2,2,,3,4,,,,0,,,,,,6,99,99,99,99,99,99,999,88,9999,9,9,4,2,2,1,8,4,5,24,1,4,6,27,2,40,97,3,0,1,106,10601,1,106,10601,1,106,10601,,,,1,4,,1,,,,1,4,,1,10601
01,0106,01869533,1,1,44,1,1,1,2,2,2,2,2,1,1,1,028,027,006,,,027,,1,,,,,,1,2006,,,,,1,,,,,8,,1,7,5,2,1,1,2,2,1,,,,,7,7,1,3,3,2,,,,1,04,03,01,03,03,00,018,8,2011,1,2,9,2,2,1,7,5,2,5,2,6,27,27,2,40,2,3,0,1,106,10601,1,106,10601,1,106,10601,1,106,10601,1,1,1,,7,1,3,1,1,1,,10601
01,0106,01869533,3,1,12,1,1,1,2,2,2,2,2,2,1,1,028,006,027,,,027,,1,,,,,,1,2011,,,,,1,,,,,5,1,1,7,6,3,1,1,2,2,2,2,,3,4,,,,0,,,,,,6,99,99,99,99,99,99,999,88,9999,9,9,3,1,1,1,7,6,5,24,1,4,6,27,1,40,97,3,0,1,106,10601,1,106,10601,1,106,10601,,,,1,4,,1,,,,1,4,,1,10601
01,0106,01869534,2,1,61,1,1,1,2,2,2,1,1,1,1,1,028,027,,,,027,,1,,,,,,1,1962,,,,,1,,,,,8,,2,4,1,2,1,1,1,1,,,,,,5,5,1,7,7,2,,,,1,10,05,05,07,04,03,018,11,9999,1,2,13,2,3,1,7,1,2,1,2,7,27,27,2,40,97,3,0,1,106,10601,1,106,10601,1,106,10601,1,106,10601,1,1,1,,5,1,7,1,1,1,,10601
01,0106,01869534,6,2,11,1,1,1,2,1,1,1,1,1,2,1,028,006,027,,,006,,1,,,,,,1,2022,,,,,2,1,9,2,,5,1,1,7,6,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,,,,,,,,,,,,,3,1,1,1,7,6,5,24,1,3,6,6,2,40,,,,1,106,10601,1,106,10601,1,109,10902,,,,1,4,,1,,,,1,4,,1,10601
01,0106,01869534,5,2,37,1,1,1,1,1,1,1,1,1,2,1,028,006,027,054,,006,,2,5,11,1,,,1,2022,,,,,2,1,9,2,,8,,1,11,5,1,2,1,1,1,,,,,,2,2,3,16,16,2,,,,1,,,,,,,,,,,,8,2,2,1,11,5,4,17,2,6,6,6,2,40,,,,5,511,51101,1,106,10601,1,109,10902,1,106,10601,1,1,1,,2,3,16,1,1,1,,10601
01,0106,01869534,1,2,65,1,1,1,2,2,1,1,1,1,1,1,028,027,,,,027,,1,,,,,,1,1959,,,,,1,,,,,8,,1,4,2,2,2,1,2,1,,,,,,5,5,1,7,7,3,1,10302,,1,,,,,,,,,,,,14,3,3,1,7,2,2,2,2,7,27,27,2,40,,,,1,106,10601,1,106,10601,1,106,10601,1,103,10302,1,1,1,,5,1,7,1,1,1,,10601
01,0106,01869534,3,2,25,1,1,1,1,1,2,1,1,1,1,1,028,006,027,,,027,,1,,,,,,1,9999,,,,,1,,,,,8,,1,11,5,2,1,1,1,1,,,,,,4,4,3,97,97,3,1,10101,,6,,,,,,,,,,,,6,2,2,1,11,5,4,17,2,6,6,27,2,40,,,,1,106,10601,1,106,10601,1,106,10601,1,101,10101,1,1,1,,4,3,97,1,1,1,,10601
01,0106,01869534,3,1,37,1,1,1,1,1,2,1,1,1,1,1,028,006,027,,,027,,1,,,,,,3,,,,,152,2,7,99,99,,8,,1,5,3,1,1,1,1,2,1,,,,,5,,4,7,,2,,,,2,99,99,99,99,99,99,999,88,9999,9,9,8,2,2,3,8,2,5,24,3,8,6,27,9,40,97,3,0,1,106,10601,0,0,0,7,799,79999,1,106,10601,0,0,8,8,,,,0,0,8,8,10601
01,0106,01869534,3,1,40,1,1,1,1,1,2,1,1,1,2,1,028,006,027,,,027,,1,,,,,,1,1984,,,,,2,1,9,2,,8,,1,11,5,1,1,1,1,1,,,,,,2,2,3,16,16,2,,,,1,02,00,02,02,00,02,024,4,2012,1,2,9,2,2,1,11,5,4,17,2,6,6,27,2,40,2,3,0,1,106,10601,1,106,10601,1,109,10902,1,106,10601,1,1,1,,2,3,16,1,1,1,,10601
01,0106,01869534,6,2,16,1,1,1,2,2,2,2,1,1,2,1,028,006,027,,,006,,1,,,,,,1,2022,,,,,2,1,9,2,,5,1,1,8,4,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,6,,,,,,,,,,,,4,2,2,1,8,4,5,24,1,4,6,6,2,40,,,,1,106,10601,1,106,10601,1,109,10902,,,,1,4,,1,,,,1,4,,1,10601
01,0106,01869536,3,1,9,1,1,2,2,2,2,1,1,1,4,1,028,027,006,,,027,,1,,,,,,1,2014,,,,,1,,,,,5,1,1,7,4,1,1,1,1,1,,,,,,9,9,5,20,20,2,,,,,,,,,,,,,,,,2,1,1,2,7,4,5,24,1,3,27,27,2,40,,,,1,106,10601,1,106,10601,1,106,10601,1,106,10601,1,1,1,,9,5,20,1,1,1,,10601
01,0106,01869536,2,1,35,1,1,2,2,2,2,1,1,1,4,1,028,027,006,,,027,,1,,,,,,1,2004,,,,,1,,,,,8,,1,7,4,1,1,1,1,2,2,2,,1,,9,9,5,20,20,2,,,,1,06,05,01,06,05,01,018,4,2019,1,5,8,2,2,2,7,4,2,4,2,6,27,27,2,40,2,2,5,1,106,10601,1,106,10601,1,106,10601,1,106,10601,1,1,1,,9,5,20,1,1,1,,10601
01,0106,01869536,1,2,36,1,1,2,2,2,2,2,1,1,4,1,028,027,006,,,027,,1,,,,,,1,2004,,,,,1,,,,,8,,1,8,4,1,1,1,1,2,1,,,,,6,6,1,1,1,2,,,,1,,,,,,,,,,,,8,2,2,2,8,4,3,10,2,6,27,27,2,40,,,,1,106,10601,1,106,10601,1,106,10601,1,106,10601,1,1,1,,6,1,1,1,1,1,,10601
01,0106,01869536,3,1,16,1,1,2,2,2,2,1,1,1,4,1,028,027,006,,,027,,1,,,,,,1,2007,,,,,1,,,,,5,1,1,8,5,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,6,00,00,00,,,,,,,,,4,2,2,2,8,5,5,24,1,4,27,27,2,40,99,3,0,1,106,10601,1,106,10601,1,106,10601,,,,1,4,,1,,,,1,4,,1,10601
01,0106,01869536,3,1,15,1,1,2,2,2,2,1,1,1,4,1,028,027,006,,,027,,1,,,,,,1,2009,,,,,1,,,,,5,1,1,8,2,1,1,1,1,1,,,,,,9,9,5,20,20,2,,,,6,00,00,00,,,,,,,,,4,2,2,2,8,2,5,24,1,4,27,27,2,40,99,3,0,1,106,10601,1,106,10601,1,106,10601,1,106,10601,1,1,1,,9,5,20,1,1,1,,10601
01,0106,01869536,3,1,17,1,1,2,2,2,2,1,1,1,4,1,028,006,027,,,006,,1,,,,,,1,2007,,,,,1,,,,,5,1,1,8,5,1,1,1,1,1,,,,,,9,9,5,20,20,2,,,,6,00,00,00,,,,,,,,,4,2,2,2,8,5,5,24,1,4,6,6,2,40,99,3,0,1,106,10601,1,106,10601,1,106,10601,1,106,10601,1,1,1,,9,5,20,1,1,1,,10601
01,0106,01869536,3,2,7,1,1,2,2,2,2,1,1,1,4,1,028,027,006,,,027,,1,,,,,,1,2017,,,,,1,,,,,5,1,1,7,2,1,1,1,1,2,2,1,2,3,6,,,,0,,,,,,,,,,,,,,,,,,2,1,1,2,7,2,5,24,1,3,27,27,2,40,,,,1,106,10601,1,106,10601,1,106,10601,,,,1,4,,2,6,4,1,1,1,1,,10601
01,0106,01869536,3,1,4,1,1,2,2,2,2,1,1,1,4,1,028,027,006,,,027,,1,,,,,,1,2019,,,,,4,,,,,5,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,1,1,2,,,,,1,2,27,27,,40,,,,1,106,10601,1,106,10601,0,0,0,,,,2,5,,,,,,2,5,,,10601
01,0106,01869537,2,2,45,1,3,1,2,2,2,1,2,1,1,1,044,027,006,,,027,,2,1,3,1,,,1,9999,,,,,1,,,,,8,,1,9,2,1,1,1,2,2,2,1,2,1,,3,3,1,6,6,2,,,,2,,,,,,,,,,,,10,2,2,1,9,2,4,14,2,6,27,27,2,52,,,,1,103,10301,1,106,10601,1,106,10601,1,106,10601,1,1,1,,3,1,6,1,1,1,,10601
01,0106,01869537,3,1,1,1,1,1,2,2,2,2,2,1,1,1,028,,,,1,,1,1,,,,,,1,2022,,,,,4,,,,,8,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,2,1,998,998,,40,,,,1,106,10601,1,106,10601,0,0,0,,,,2,5,,,,,,2,5,,,10601
01,0106,01869537,3,1,10,1,1,1,2,2,1,2,2,2,1,1,028,027,006,,,027,,1,,,,,,1,2014,,,,,1,,,,,5,1,1,7,5,1,1,1,1,2,2,1,2,3,4,,,,0,,,,,,,,,,,,,,,,,,3,1,1,1,7,5,5,24,1,3,27,27,2,40,,,,1,106,10601,1,106,10601,1,106,10601,,,,1,4,,1,6,4,1,1,1,1,,10601
