DEPAR,PROV,N_VIV,P24_PARENTES,P25_SEXO,P26_EDAD,P28_CN,P29_CI,P30A_PUBLIC,P30B_CAJA,P30C_PRIVAD,P30D_ATEDOM,P30E_TRADIC,P30F_AUTOME,P30G_CASERA,P31_AFILIADO,P32_PUEBLO_PER,P32_PUEBLO_COD,P331_IDIOHAB1_COD,P332_IDIOHAB2_COD,P333_IDIOHAB3_COD,P334_IDIOHAB_NO,P341_IDIOMAT_COD,P342_IDIOMAT_NO,P35_LUGNAC,P35J_DEPTOCOD,P35H1_PROVCOD,P35H_MUNCOD,P354_ANLLEGA,P353_PAISNAC_COD,P36_LUGRES,P361_ANRES,P36J_DEPTOCOD,P36H1_PROVCOD,P36H_MUNCOD,P363_PAISRES_COD,P37_LUGRES5,P37J_DEPTOCOD,P37H1_PROVCOD,P37H_MUNCOD,P373_PAISRES5_COD,P38_ASISTE,P39_TIPOEST,P40_LEE,P41A_NIVEL,P41B_CURSO,P42A_VER,P42B_OIR,P42C_CAMINA,P42D_COMUNI,P43_PAGO,P44_NEGO,P45_AGRO,P46_DEST,P47_OTRO,P48_NOCU,P49_OCU_1D,OCU_1D_19,P50_SEMP,P51_ACTEC_2D,ACT_ECO_2D_19,P52_MOV,P52_DEP_MOV_COD,P52_MUN_MOV_COD,P52_PAIS_MOV_COD,P53_ECIVIL,P54_HVTOT,P54A_HVTOT_MUJ,P54B_HVTOT_HOM,P55_HSTOT,P55A_HSTOT_MUJ,P55B_HSTOT_HOM,P56_EDADMAD,P57A_UHNACMES,P57B_UHNACAN,P58_UHSOBRE,P59_ATPARTO,EDAD_QUI,G_EDAD,G_EDAD_BOL,P31_COBERSALUD,P41A_NIVEL_ACT,P41B_CURSO_ACT,NIVEL_EDU,AESTUDIO,ASISTE,GEDADEDU,IDIOMA_MAYOR_USO,IDIOMA_MAT,P42_DISCAP,P32_PUEBLOS,HULTA,P59_PARTOCALIF,P59_MEF,DEP_NAC_COD,PROV_NAC_COD,MUN_NAC_COD,DEP_RES_COD,PROV_RES_COD,MUN_RES_COD,DEP_RES5_COD,PROV_RES5_COD,MUN_RES5_COD,DEP_LAB_COD,PROV_LAB_COD,MUN_LAB_COD,PET_19,CONDACT_19,FT_19,FFT_19,OCU_1D_13,P50_CATOCU_13,ACT_ECO_2D_13,PET_13,CONDACT_13,PEA_13,PEI_13,MUN
01,0110,01872339,1,2,46,1,1,2,2,2,2,2,2,1,4,1,013,006,012,,,006,,2,6,6,1,,,1,2023,,,,,1,,,,,8,,1,7,3,1,1,1,1,1,,,,,,6,6,2,1,1,2,,,,5,,,,,,,,,,,,10,2,2,2,7,3,2,3,2,6,6,6,2,15,,,,6,606,60601,1,110,11002,1,110,11002,1,110,11002,1,1,1,,6,2,1,1,1,1,,11002
01,0110,01872340,1,1,36,1,1,1,1,1,2,2,2,2,1,2,,006,,,,006,,1,,,,,,1,1988,,,,,1,,,,,8,,1,8,6,1,1,1,2,1,,,,,,5,5,2,16,16,2,,,,2,02,01,01,02,01,01,018,12,2013,1,1,8,2,2,1,8,6,3,12,2,6,6,6,2,98,2,3,0,1,110,11002,1,110,11002,1,110,11002,1,110,11002,1,1,1,,5,2,16,1,1,1,,11002
01,0110,01872340,2,2,47,1,1,1,2,2,1,1,2,1,1,2,,006,,,,006,,1,,,,,,1,2001,,,,,1,,,,,8,,1,8,6,1,1,1,1,2,2,1,2,3,6,,,,0,,,,,,2,,,,,,,,,,,,10,2,2,1,8,6,3,12,2,6,6,6,2,98,,,,1,110,11002,1,110,11002,1,110,11002,,,,1,4,,2,6,4,1,1,1,1,,11002
01,0110,01872340,3,2,17,1,1,1,2,1,2,1,2,1,1,2,,006,,,,006,,1,,,,,,1,2006,,,,,1,,,,,5,1,1,8,5,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,6,,,,,,,,,,,,4,2,2,1,8,5,5,24,1,4,6,6,2,98,,,,1,110,11002,1,110,11002,1,110,11002,,,,1,4,,1,,,,1,4,,1,11002
01,0110,01872340,3,1,10,1,1,1,2,2,2,1,2,1,1,2,,006,,,,006,,1,,,,,,1,2013,,,,,1,,,,,5,1,1,7,4,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,,,,,,,,,,,,,3,1,1,1,7,4,5,24,1,3,6,6,2,98,,,,1,110,11002,1,110,11002,1,110,11002,,,,1,4,,1,,,,1,4,,1,11002
01,0110,01872341,3,1,10,1,1,1,1,1,2,1,1,1,2,2,,006,,,,006,,1,,,,,,1,2013,,,,,1,,,,,5,1,1,7,4,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,,,,,,,,,,,,,3,1,1,1,7,4,5,24,1,3,6,6,2,98,,,,1,110,11002,1,110,11002,1,110,11002,,,,1,4,,1,,,,1,4,,1,11002
01,0110,01872341,3,1,12,1,1,1,1,1,2,1,1,1,2,2,,006,,,,006,,1,,,,,,1,2011,,,,,1,,,,,5,1,1,7,6,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,6,99,99,99,99,99,99,999,88,9999,9,9,3,1,1,1,7,6,5,24,1,4,6,6,2,98,97,3,0,1,110,11002,1,110,11002,1,110,11002,,,,1,4,,1,,,,1,4,,1,11002
01,0110,01872341,1,1,35,1,1,1,1,1,2,1,1,1,2,2,,006,,,,006,,2,6,2,2,,,1,2010,,,,,1,,,,,8,,1,11,5,1,1,1,1,1,,,,,,2,2,2,16,16,2,,,,4,02,02,00,02,02,00,999,9,2013,1,2,8,2,2,1,11,5,4,17,2,6,6,6,2,98,2,3,0,6,602,60202,1,110,11002,1,110,11002,1,110,11002,1,1,1,,2,2,16,1,1,1,,11002
01,0110,01872342,1,2,45,1,1,1,2,2,1,1,2,1,1,1,905,006,012,,,006,,1,,,,,,1,1978,,,,,1,,,,,8,,1,4,4,2,2,1,1,1,,,,,,8,8,2,8,8,3,1,11001,,1,,,,,,,,,,,,10,2,2,1,7,4,2,4,2,6,6,6,2,57,,,,1,110,11002,1,110,11002,1,110,11002,1,110,11001,1,1,1,,8,2,8,1,1,1,,11002
01,0110,01872342,2,1,43,1,1,1,2,2,1,1,2,1,1,1,905,006,012,,,012,,1,,,,,,1,1980,,,,,1,,,,,8,,1,4,3,2,1,2,2,2,1,,,,,5,5,1,9,9,2,,,,1,07,06,01,07,06,01,013,4,2015,1,1,9,2,2,1,7,3,2,3,2,6,6,12,2,57,2,3,0,1,110,11002,1,110,11002,1,110,11002,1,110,11002,1,1,1,,5,1,9,1,1,1,,11002
01,0110,01872342,3,1,24,1,1,1,2,2,2,1,2,1,1,1,905,006,,,,006,,1,,,,,,1,1999,,,,,1,,,,,8,,1,8,6,1,1,1,1,1,,,,,,97,97,2,15,15,2,,,,6,00,00,00,,,,,,,,,5,2,2,1,8,6,3,12,2,5,6,6,2,57,99,3,0,1,110,11002,1,110,11002,1,110,11002,1,110,11002,1,1,1,,97,2,15,1,1,1,,11002
01,0110,01872342,3,1,17,1,1,1,2,2,2,1,2,1,1,1,905,006,,,,006,,1,,,,,,1,2006,,,,,1,,,,,5,1,1,8,5,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,6,00,00,00,,,,,,,,,4,2,2,1,8,5,5,24,1,4,6,6,2,57,99,3,0,1,110,11002,1,110,11002,1,110,11002,,,,1,4,,1,,,,1,4,,1,11002
01,0110,01872342,3,2,11,1,1,1,2,2,2,1,2,1,1,1,905,006,,,,006,,1,,,,,,1,2012,,,,,1,,,,,5,1,1,7,5,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,,,,,,,,,,,,,3,1,1,1,7,5,5,24,1,3,6,6,2,57,,,,1,110,11002,1,110,11002,1,110,11002,,,,1,4,,1,,,,1,4,,1,11002
01,0110,01872342,3,1,8,1,1,1,2,2,2,1,2,1,1,1,905,006,,,,006,,1,,,,,,1,2015,,,,,1,,,,,5,1,1,7,3,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,,,,,,,,,,,,,2,1,1,1,7,3,5,24,1,3,6,6,2,57,,,,1,110,11002,1,110,11002,1,110,11002,,,,1,4,,1,,,,1,4,,1,11002
01,0110,01872343,1,1,38,1,1,1,1,2,2,2,2,2,2,2,,006,,,,006,,2,5,15,1,,,1,2021,,,,,2,5,15,1,,8,,1,11,5,2,2,1,1,2,2,2,,1,,2,2,2,16,16,2,,,,2,02,00,02,02,00,02,030,8,2019,1,4,8,2,2,1,11,5,4,17,2,6,6,6,2,98,2,2,4,5,515,51501,1,110,11002,5,515,51501,1,110,11002,1,1,1,,2,2,16,1,1,1,,11002
01,0110,01872343,3,2,8,1,3,1,1,1,2,1,1,1,2,2,,006,,,,006,,3,,,,2015,032,1,2021,,,,,2,5,15,1,,5,1,1,4,2,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,,,,,,,,,,,,,2,1,1,1,7,2,5,24,1,3,6,6,2,98,,,,0,0,0,1,110,11002,5,515,51501,,,,1,4,,1,,,,1,4,,1,11002
01,0110,01872344,3,2,29,1,1,1,2,2,2,2,2,2,1,1,905,006,,,,006,,2,2,99,99,,,1,1994,,,,,1,,,,,8,,1,11,5,1,1,1,1,1,,,,,,6,6,2,1,1,2,,,,6,,,,,,,,,,,,6,2,2,1,11,5,4,17,2,6,6,6,2,57,,,,2,299,29999,1,110,11002,1,110,11002,1,110,11002,1,1,1,,6,2,1,1,1,1,,11002
01,0110,01872344,2,1,61,1,1,1,2,2,2,1,2,1,1,1,905,006,,,,006,,1,,,,,,1,1962,,,,,1,,,,,8,,1,7,2,2,1,1,1,2,2,1,2,1,,5,5,1,9,9,1,,,,1,06,01,05,05,00,05,999,88,1992,1,2,13,2,3,1,7,2,2,2,2,7,6,6,2,57,97,3,0,1,110,11002,1,110,11002,1,110,11002,1,110,11002,1,1,1,,5,1,9,1,1,1,,11002
01,0110,01872344,12,1,16,1,1,1,2,2,2,1,2,1,1,1,905,006,,,,006,,1,,,,,,1,2007,,,,,1,,,,,5,1,1,8,5,1,1,1,1,2,2,2,,3,4,,,,0,,,,,,6,99,99,99,99,99,99,999,88,9999,9,9,4,2,2,1,8,5,5,24,1,4,6,6,2,57,97,3,0,1,110,11002,1,110,11002,1,110,11002,,,,1,4,,1,,,,1,4,,1,11002
01,0110,01872344,1,2,51,1,1,1,2,2,2,1,2,1,1,1,905,006,,,,006,,1,,,,,,1,1972,,,,,1,,,,,8,,1,7,6,2,2,1,1,2,2,1,1,,,6,6,1,1,1,2,,,,1,,,,,,,,,,,,11,2,2,1,7,6,2,6,2,6,6,6,2,57,,,,1,110,11002,1,110,11002,1,110,11002,1,110,11002,1,1,1,,6,1,1,1,1,1,,11002
01,0110,01872345,1,2,29,1,1,2,1,2,2,2,2,2,2,1,013,006,012,,,012,,2,7,99,99,,,1,2018,,,,,1,,,,,8,,1,11,5,1,1,1,1,1,,,,,,2,2,2,16,16,2,,,,1,,,,,,,,,,,,6,2,2,1,11,5,4,17,2,6,6,12,2,15,,,,7,799,79999,1,110,11002,1,110,11002,1,110,11002,1,1,1,,2,2,16,1,1,1,,11002
01,0110,01872346,2,1,35,1,1,1,1,1,1,1,1,1,2,2,,006,,,,006,,2,1,2,1,,,1,2016,,,,,1,,,,,8,,1,11,5,1,1,1,1,1,,,,,,2,2,2,16,16,2,,,,1,01,00,01,01,00,01,029,11,2017,1,1,8,2,2,1,11,5,4,17,2,6,6,6,2,98,2,3,0,1,102,10201,1,110,11002,1,110,11002,1,110,11002,1,1,1,,2,2,16,1,1,1,,11002
01,0110,01872346,1,2,33,1,1,1,1,1,2,2,1,1,2,2,,006,,,,006,,2,3,1,1,,,1,2016,,,,,1,,,,,8,,1,11,5,1,1,1,1,1,,,,,,2,2,2,16,16,2,,,,1,,,,,,,,,,,,7,2,2,1,11,5,4,17,2,6,6,6,2,98,,,,3,301,30101,1,110,11002,1,110,11002,1,110,11002,1,1,1,,2,2,16,1,1,1,,11002
01,0110,01872346,3,2,6,1,1,1,1,1,1,1,1,1,2,2,,006,,,,006,,2,1,5,1,,,1,2017,,,,,1,,,,,5,1,2,3,2,1,1,1,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,2,1,1,1,3,2,5,24,1,3,6,6,2,98,,,,1,105,10501,1,110,11002,1,110,11002,,,,2,5,,,,,,2,5,,,11002
01,0110,01872347,1,2,20,1,1,1,2,2,2,1,1,1,1,1,013,006,,,,012,,2,7,7,6,,,1,2023,,,,,2,7,7,6,,7,1,1,11,2,1,1,1,1,1,,,,,,5,5,9,9,9,1,,,,6,,,,,,,,,,,,5,2,2,1,11,2,4,14,1,5,6,12,2,15,,,,7,707,70706,1,110,11002,7,707,70706,1,110,11002,1,1,1,,5,9,9,1,1,1,,11002
01,0110,01872348,1,1,26,1,1,1,1,2,2,2,2,2,2,1,028,006,027,,,006,,2,1,6,1,,,1,2021,,,,,2,1,6,1,,8,,1,11,5,1,1,1,1,2,2,2,,1,,2,2,2,16,16,2,,,,2,02,00,02,02,00,02,021,12,2023,1,1,6,2,2,1,11,5,4,17,2,6,6,6,2,40,1,1,1,1,106,10601,1,110,11002,1,106,10601,1,110,11002,1,1,1,,2,2,16,1,1,1,,11002
01,0110,01872348,2,2,26,1,1,2,1,2,2,2,2,2,2,1,028,006,027,,,027,,2,1,6,1,,,1,2021,,,,,2,1,6,1,,8,,1,11,5,1,1,1,1,2,2,2,,1,,2,2,9,16,16,2,,,,2,,,,,,,,,,,,6,2,2,1,11,5,4,17,2,6,6,27,2,40,,,,1,106,10601,1,110,11002,1,106,10601,1,110,11002,1,1,1,,2,9,16,1,1,1,,11002
01,0110,01872348,3,2,0,1,1,2,1,2,2,2,2,2,2,9,,999,,,,999,,2,1,1,1,,,1,2024,,,,,4,,,,,9,9,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,3,8,999,999,,99,,,,1,101,10101,1,110,11002,0,0,0,,,,2,5,,,,,,2,5,,,11002
01,0110,01872348,3,2,4,1,1,2,1,2,2,2,2,2,2,9,,006,,,,006,,2,1,6,1,,,1,2021,,,,,4,,,,,5,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,2,6,6,,99,,,,1,106,10601,1,110,11002,0,0,0,,,,2,5,,,,,,2,5,,,11002
01,0110,01872349,1,1,52,1,1,1,1,1,1,1,2,1,1,1,905,006,,,,006,,1,,,,,,1,1971,,,,,1,,,,,8,,1,6,1,2,1,1,1,1,,,,,,9,9,1,14,14,2,,,,1,05,02,03,05,02,03,018,10,2001,1,4,11,2,2,1,8,3,3,9,2,6,6,6,2,57,2,3,0,1,110,11002,1,110,11002,1,110,11002,1,110,11002,1,1,1,,9,1,14,1,1,1,,11002
01,0110,01872350,1,1,28,1,1,1,2,2,1,1,2,1,1,1,905,006,,,,006,,1,,,,,,1,9999,,,,,1,,,,,9,9,1,8,6,2,1,1,2,2,2,2,,3,6,,,,0,,,,,,2,02,01,01,02,01,01,020,1,2023,1,1,6,2,2,1,8,6,3,12,3,8,6,6,2,57,2,1,1,1,110,11002,1,110,11002,1,110,11002,,,,1,4,,2,,,,1,4,,2,11002
